type,x,y,z,electrode,distance
Electrode,-45.645824,-82.689232,3.983955,PO7,16.5424255908631
Electrode,-28.079988,-94.777946,26.804291,PO3,16.2438757906236
Electrode,-4.212548,-92.84642,34.452446,POz,23.4664130654611
Electrode,-24.843346,-99.280693,0.490708,O1,16.0582060196056
Electrode,-2.013288,-102.864677,2.609965,Oz,16.6654715431175
Electrode,-56.543472,-60.88089,15.285904,P7,12.0258625420458
Electrode,-54.188416,-67.062561,37.796673,P5,11.3623232742971
Electrode,-42.602898,-76.088913,53.974602,P3,11.1070079136515
Electrode,-23.411884,-77.999466,65.732338,P1,13.6125929199496
Electrode,6.234989,-74.029579,73.275757,Pz,16.7827994780252
Electrode,-43.26125,-79.376732,15.550892,PO7,11.3546462053003
Electrode,-29.630484,-86.631172,36.57901,PO3,13.5898786465085
Electrode,-3.995393,-90.46199,46.07045,POz,13.946189689622
Electrode,-23.062986,-95.819084,19.062567,O1,9.51091639019636
Electrode,-3.17589,-95.539528,23.329924,Oz,12.8751107061341
Electrode,-60.719822,-67.792213,-0.932687,P7,11.4993651114664
Electrode,-62.481194,-77.474304,23.211571,P5,10.2738042583537
Electrode,-54.348351,-80.045631,46.328461,P3,13.8826516043598
Electrode,-30.089174,-83.506783,64.953598,P1,17.5794255438873
Electrode,-8.886642,-86.55542,66.593559,Pz,19.3319092470431
Electrode,-46.284809,-91.1325,-5.472693,PO7,12.7844876912837
Electrode,-35.235363,-99.625328,27.316706,PO3,15.5031992558554
Electrode,-7.147262,-106.591675,23.227018,POz,19.3525668370316
Electrode,-21.524986,-107.674767,-2.003306,O1,13.6470341334201
Electrode,-1.501644,-110.862579,1.186542,Oz,13.0373374654506
Electrode,-55.05479,-63.467209,18.103268,P7,14.2192720798894
Electrode,-52.408611,-69.910957,42.305088,P5,15.5171676464823
Electrode,-41.352016,-71.80986,60.54467,P3,15.8947710963133
Electrode,-17.017303,-72.592934,71.315315,P1,21.3152113050874
Electrode,-12.10026,-72.333366,72.365532,Pz,22.9518043272415
Electrode,-39.305248,-84.180962,19.270481,PO7,16.2178139974039
Electrode,-29.964535,-88.142715,40.384262,PO3,17.5213347526749
Electrode,4.874779,-89.216225,46.777557,POz,20.6688621706995
Electrode,-18.906206,-98.693703,16.790928,O1,13.4967526837297
Electrode,-4.477282,-99.131958,18.859259,Oz,17.1096712718287
Electrode,-58.850788,-55.894432,11.053314,P7,12.9039483228174
Electrode,-59.087177,-67.613091,36.988266,P5,11.1397932285346
Electrode,-52.879486,-72.526833,52.161572,P3,11.5851087900868
Electrode,-35.437683,-76.822968,66.813873,P1,15.194322621049
Electrode,-2.323229,-80.693703,67.782402,Pz,18.3477477141179
Electrode,-46.837627,-80.099548,15.075064,PO7,11.2149228688366
